THE NPOD0THE NT 0
C (20,20)
G (20,20)
FLP
power
P (20,11)
PD
Starting Solver!
Timestamp: 0.453629, rank 0, back
Timestamp: 0.454506, rank 0, front
Timestamp: 0.455441, rank 0, back
Timestamp: 0.455982, rank 0, front
Timestamp: 0.456690, rank 0, back
Timestamp: 0.457246, rank 0, front
Timestamp: 0.457953, rank 0, back
Timestamp: 0.458475, rank 0, front
Timestamp: 0.459182, rank 0, back
Timestamp: 0.459706, rank 0, front
Timestamp: 0.460420, rank 0, back
Timestamp: 0.460942, rank 0, front
Timestamp: 0.461648, rank 0, back
Timestamp: 0.462193, rank 0, front
Timestamp: 0.462902, rank 0, back
Timestamp: 0.463421, rank 0, front
Timestamp: 0.464153, rank 0, back
Timestamp: 0.464687, rank 0, front
Timestamp: 0.465395, rank 0, back
Timestamp: 0.465913, rank 0, front
Timestamp: 0.466620, rank 0, back
Timestamp: 0.467142, rank 0, front
Timestamp: 0.467847, rank 0, back
Timestamp: 0.468396, rank 0, front
Timestamp: 0.469106, rank 0, back
Timestamp: 0.469625, rank 0, front
Timestamp: 0.470332, rank 0, back
Timestamp: 0.470852, rank 0, front
Timestamp: 0.471560, rank 0, back
Timestamp: 0.472103, rank 0, front
Timestamp: 0.472812, rank 0, back
Timestamp: 0.473362, rank 0, front
Timestamp: 0.474068, rank 0, back
Timestamp: 0.474588, rank 0, front
Timestamp: 0.475296, rank 0, back
Timestamp: 0.475819, rank 0, front
Timestamp: 0.476541, rank 0, back
Timestamp: 0.477058, rank 0, front
Timestamp: 0.477768, rank 0, back
Timestamp: 0.478312, rank 0, front
Timestamp: 0.479019, rank 0, back
Timestamp: 0.479538, rank 0, front
Timestamp: 0.480253, rank 0, back
Timestamp: 0.480770, rank 0, front
Timestamp: 0.481476, rank 0, back
Timestamp: 0.482006, rank 0, front
Timestamp: 0.482711, rank 0, back
Timestamp: 0.483231, rank 0, front
Timestamp: 0.483964, rank 0, back
Timestamp: 0.484513, rank 0, front
Timestamp: 0.485225, rank 0, back
Timestamp: 0.485743, rank 0, front
Timestamp: 0.486453, rank 0, back
Timestamp: 0.486973, rank 0, front
Timestamp: 0.487679, rank 0, back
Timestamp: 0.488206, rank 0, front
Timestamp: 0.488909, rank 0, back
Timestamp: 0.489454, rank 0, front
Timestamp: 0.490162, rank 0, back
Timestamp: 0.490681, rank 0, front
Timestamp: 0.491386, rank 0, back
Timestamp: 0.491903, rank 0, front
Timestamp: 0.492636, rank 0, back
Timestamp: 0.493161, rank 0, front
Timestamp: 0.493869, rank 0, back
Timestamp: 0.494390, rank 0, front
Timestamp: 0.495099, rank 0, back
Timestamp: 0.495643, rank 0, front
Timestamp: 0.496356, rank 0, back
Timestamp: 0.496876, rank 0, front
Timestamp: 0.497578, rank 0, back
Timestamp: 0.498098, rank 0, front
Timestamp: 0.498800, rank 0, back
Timestamp: 0.499326, rank 0, front
Timestamp: 0.500043, rank 0, back
Timestamp: 0.500589, rank 0, front
Timestamp: 0.501292, rank 0, back
Timestamp: 0.501811, rank 0, front
Timestamp: 0.502515, rank 0, back
Timestamp: 0.503035, rank 0, front
Timestamp: 0.503739, rank 0, back
Timestamp: 0.504304, rank 0, front
Timestamp: 0.505010, rank 0, back
Timestamp: 0.505536, rank 0, front
Timestamp: 0.506243, rank 0, back
Timestamp: 0.506792, rank 0, front
Timestamp: 0.507498, rank 0, back
Timestamp: 0.508043, rank 0, front
Timestamp: 0.508751, rank 0, back
Timestamp: 0.509272, rank 0, front
Timestamp: 0.509988, rank 0, back
Timestamp: 0.510508, rank 0, front
Timestamp: 0.511222, rank 0, back
Timestamp: 0.511766, rank 0, front
Timestamp: 0.512491, rank 0, back
Timestamp: 0.513010, rank 0, front
Timestamp: 0.513718, rank 0, back
Timestamp: 0.514237, rank 0, front
Timestamp: 0.514943, rank 0, back
Timestamp: 0.515459, rank 0, front
Timestamp: 0.516223, rank 0, back
Timestamp: 0.516754, rank 0, front
Timestamp: 0.517737, rank 0, back
Timestamp: 0.518646, rank 0, front
Timestamp: 0.519854, rank 0, back
Timestamp: 0.520532, rank 0, front
Timestamp: 0.521236, rank 0, back
Timestamp: 0.521760, rank 0, front
Timestamp: 0.522465, rank 0, back
Timestamp: 0.522992, rank 0, front
Timestamp: 0.523696, rank 0, back
Timestamp: 0.524252, rank 0, front
Timestamp: 0.524955, rank 0, back
Timestamp: 0.525474, rank 0, front
Timestamp: 0.526178, rank 0, back
Timestamp: 0.526696, rank 0, front
Timestamp: 0.527400, rank 0, back
Timestamp: 0.527918, rank 0, front
Timestamp: 0.528638, rank 0, back
Timestamp: 0.529157, rank 0, front
Timestamp: 0.529897, rank 0, back
Timestamp: 0.530448, rank 0, front
Timestamp: 0.531155, rank 0, back
Timestamp: 0.531677, rank 0, front
Timestamp: 0.532820, rank 0, back
Timestamp: 0.533607, rank 0, front
Timestamp: 0.534799, rank 0, back
Timestamp: 0.535563, rank 0, front
Timestamp: 0.536774, rank 0, back
Timestamp: 0.537602, rank 0, front
Timestamp: 0.538843, rank 0, back
Timestamp: 0.539623, rank 0, front
Timestamp: 0.540842, rank 0, back
Timestamp: 0.541612, rank 0, front
Timestamp: 0.542801, rank 0, back
Timestamp: 0.543576, rank 0, front
Timestamp: 0.544823, rank 0, back
Timestamp: 0.545662, rank 0, front
Timestamp: 0.546850, rank 0, back
Timestamp: 0.547617, rank 0, front
Timestamp: 0.548807, rank 0, back
Timestamp: 0.549573, rank 0, front
Timestamp: 0.550769, rank 0, back
Timestamp: 0.551592, rank 0, front
Timestamp: 0.552810, rank 0, back
Timestamp: 0.553587, rank 0, front
Timestamp: 0.554775, rank 0, back
Timestamp: 0.555591, rank 0, front
Timestamp: 0.556802, rank 0, back
Timestamp: 0.557597, rank 0, front
Timestamp: 0.558792, rank 0, back
Timestamp: 0.559652, rank 0, front
Timestamp: 0.560935, rank 0, back
Timestamp: 0.561837, rank 0, front
Timestamp: 0.563161, rank 0, back
Timestamp: 0.564030, rank 0, front
Timestamp: 0.565442, rank 0, back
Timestamp: 0.566239, rank 0, front
Timestamp: 0.567484, rank 0, back
Timestamp: 0.568083, rank 0, front
Timestamp: 0.568789, rank 0, back
Timestamp: 0.569313, rank 0, front
Timestamp: 0.570017, rank 0, back
Timestamp: 0.570536, rank 0, front
Timestamp: 0.571245, rank 0, back
Timestamp: 0.571810, rank 0, front
Timestamp: 0.572549, rank 0, back
Timestamp: 0.573070, rank 0, front
Timestamp: 0.573777, rank 0, back
Timestamp: 0.574299, rank 0, front
Timestamp: 0.575007, rank 0, back
Timestamp: 0.575523, rank 0, front
Timestamp: 0.576240, rank 0, back
Timestamp: 0.576787, rank 0, front
Timestamp: 0.577500, rank 0, back
Timestamp: 0.578021, rank 0, front
Timestamp: 0.578726, rank 0, back
Timestamp: 0.579247, rank 0, front
Timestamp: 0.579963, rank 0, back
Timestamp: 0.580483, rank 0, front
Timestamp: 0.581190, rank 0, back
Timestamp: 0.581711, rank 0, front
Timestamp: 0.582420, rank 0, back
Timestamp: 0.582967, rank 0, front
Timestamp: 0.583790, rank 0, back
Timestamp: 0.584344, rank 0, front
Timestamp: 0.585054, rank 0, back
Timestamp: 0.585576, rank 0, front
Timestamp: 0.586282, rank 0, back
Timestamp: 0.586803, rank 0, front
Timestamp: 0.587510, rank 0, back
Timestamp: 0.588070, rank 0, front
Timestamp: 0.588778, rank 0, back
Timestamp: 0.589298, rank 0, front
Timestamp: 0.590007, rank 0, back
Timestamp: 0.590539, rank 0, front
Timestamp: 0.591242, rank 0, back
Timestamp: 0.591761, rank 0, front
Timestamp: 0.592501, rank 0, back
Timestamp: 0.593023, rank 0, front
Timestamp: 0.593731, rank 0, back
Timestamp: 0.594276, rank 0, front
Timestamp: 0.595364, rank 0, back
Timestamp: 0.596153, rank 0, front
Timestamp: 0.597335, rank 0, back
Timestamp: 0.598098, rank 0, front
Timestamp: 0.599444, rank 0, back
Timestamp: 0.600259, rank 0, front
Timestamp: 0.601117, rank 0, back
Timestamp: 0.601697, rank 0, front
Timestamp: 0.602409, rank 0, back
Timestamp: 0.602930, rank 0, front
Timestamp: 0.603635, rank 0, back
Timestamp: 0.604180, rank 0, front
Timestamp: 0.604894, rank 0, back
Timestamp: 0.605414, rank 0, front
Timestamp: 0.606122, rank 0, back
Timestamp: 0.606665, rank 0, front
Timestamp: 0.607801, rank 0, back
Timestamp: 0.608707, rank 0, front
Timestamp: 0.609913, rank 0, back
Timestamp: 0.610679, rank 0, front
Timestamp: 0.611878, rank 0, back
Timestamp: 0.612680, rank 0, front
Timestamp: 0.613883, rank 0, back
Timestamp: 0.614648, rank 0, front
Timestamp: 0.615844, rank 0, back
Timestamp: 0.616702, rank 0, front
Timestamp: 0.617908, rank 0, back
Timestamp: 0.618676, rank 0, front
Timestamp: 0.619867, rank 0, back
Timestamp: 0.620652, rank 0, front
Timestamp: 0.621847, rank 0, back
Timestamp: 0.622610, rank 0, front
Timestamp: 0.623804, rank 0, back
Timestamp: 0.624640, rank 0, front
Timestamp: 0.625844, rank 0, back
Timestamp: 0.626616, rank 0, front
Timestamp: 0.627816, rank 0, back
Timestamp: 0.628612, rank 0, front
Timestamp: 0.629812, rank 0, back
Timestamp: 0.630587, rank 0, front
Timestamp: 0.631789, rank 0, back
Timestamp: 0.632582, rank 0, front
Timestamp: 0.633781, rank 0, back
Timestamp: 0.634602, rank 0, front
Timestamp: 0.636166, rank 0, back
Timestamp: 0.637085, rank 0, front
Timestamp: 0.638621, rank 0, back
Timestamp: 0.639505, rank 0, front
Timestamp: 0.640566, rank 0, back
Timestamp: 0.641112, rank 0, front
Timestamp: 0.641824, rank 0, back
Timestamp: 0.642383, rank 0, front
Timestamp: 0.643092, rank 0, back
Timestamp: 0.643612, rank 0, front
Timestamp: 0.644335, rank 0, back
Timestamp: 0.644858, rank 0, front
Timestamp: 0.645568, rank 0, back
Timestamp: 0.646089, rank 0, front
Timestamp: 0.646801, rank 0, back
Timestamp: 0.647322, rank 0, front
Timestamp: 0.648066, rank 0, back
Timestamp: 0.648619, rank 0, front
Timestamp: 0.649475, rank 0, back
Timestamp: 0.650010, rank 0, front
Timestamp: 0.650723, rank 0, back
Timestamp: 0.651247, rank 0, front
Timestamp: 0.651967, rank 0, back
Timestamp: 0.652495, rank 0, front
Timestamp: 0.653201, rank 0, back
Timestamp: 0.653749, rank 0, front
Timestamp: 0.654458, rank 0, back
Timestamp: 0.654977, rank 0, front
Timestamp: 0.655685, rank 0, back
Timestamp: 0.656628, rank 0, front
Timestamp: 0.657818, rank 0, back
Timestamp: 0.658745, rank 0, front
Timestamp: 0.659986, rank 0, back
Timestamp: 0.660797, rank 0, front
Timestamp: 0.662131, rank 0, back
Timestamp: 0.663017, rank 0, front
Timestamp: 0.664265, rank 0, back
Timestamp: 0.665054, rank 0, front
Timestamp: 0.666265, rank 0, back
Timestamp: 0.667139, rank 0, front
Timestamp: 0.668367, rank 0, back
Timestamp: 0.669042, rank 0, front
Timestamp: 0.670265, rank 0, back
Timestamp: 0.671068, rank 0, front
Timestamp: 0.671778, rank 0, back
Timestamp: 0.672324, rank 0, front
Timestamp: 0.673034, rank 0, back
Timestamp: 0.673558, rank 0, front
Timestamp: 0.674267, rank 0, back
Timestamp: 0.674789, rank 0, front
Timestamp: 0.675497, rank 0, back
Timestamp: 0.676055, rank 0, front
Timestamp: 0.676765, rank 0, back
Timestamp: 0.677314, rank 0, front
Timestamp: 0.678024, rank 0, back
Timestamp: 0.678543, rank 0, front
Timestamp: 0.679249, rank 0, back
Timestamp: 0.679769, rank 0, front
Timestamp: 0.680489, rank 0, back
Timestamp: 0.681008, rank 0, front
Timestamp: 0.681715, rank 0, back
Timestamp: 0.682378, rank 0, front
Timestamp: 0.683089, rank 0, back
Timestamp: 0.683612, rank 0, front
Timestamp: 0.684335, rank 0, back
Timestamp: 0.684857, rank 0, front
Timestamp: 0.685565, rank 0, back
Timestamp: 0.686084, rank 0, front
Timestamp: 0.686787, rank 0, back
Timestamp: 0.687334, rank 0, front
